#TYPE Selected.Microsoft.WinGet.Client.Engine.PSObjects.PSInstalledCatalogPackage
"Name","Id"
"AMD Radeon Software","MSIX\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.21.30024.0_x64__0a9344xs7nr4m"
"Microsoft Clipchamp","MSIX\Clipchamp.Clipchamp_4.5.10220.0_x64__yxz26nhyzhsrt"
"Dolby Audio","MSIX\DolbyLaboratories.DolbyAudio_3.30201.210.0_x64__rz1tebttyb220"
"Lenovo Vantage","MSIX\E046963F.LenovoCompanion_10.2511.10.0_x64__k1h2ywk1493x8"
"ELAN Touchpad Setting","MSIX\ELANMicroelectronicsCorpo.ELANTouchpadSetting_11.2.63.0_x64__stws0m115j6hg"
"AV1 Video Extension","MSIX\Microsoft.AV1VideoExtension_2.0.6.0_x64__8wekyb3d8bbwe"
"Video-extensie voor AVC-encoder","MSIX\Microsoft.AVCEncoderVideoExtension_1.1.23.0_x64__8wekyb3d8bbwe"
"Compatibiliteitsverbeteringen voor Windows-toepassingen","MSIX\Microsoft.ApplicationCompatibilityEnhancements_1.2511.9.0_x64__8wekyb3d8bbwe"
"App Installer","Microsoft.AppInstaller"
"Microsoft Edge Spelassistent","MSIX\Microsoft.Edge.GameAssist_1.0.3590.0_x64__8wekyb3d8bbwe"
"Uitbreiding voor HEIF-afbeeldingen","MSIX\Microsoft.HEIFImageExtension_1.2.28.0_x64__8wekyb3d8bbwe"
"Local Experience-pakket voor Nederlands","MSIX\Microsoft.LanguageExperiencePacknl-NL_26100.148.244.0_neutral__8wekyb3d8bbwe"
"Uitbreiding voor MPEG-2-video","MSIX\Microsoft.MPEG2VideoExtension_1.2.13.0_x64__8wekyb3d8bbwe"
"Microsoft Edge","MSIX\Microsoft.MicrosoftEdge.Stable_143.0.3650.139_neutral__8wekyb3d8bbwe"
"Microsoft .Net Native Framework Package 1.7","MSIX\Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Framework Package 1.7","MSIX\Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x86__8wekyb3d8bbwe"
"Microsoft .Net Native Framework Package 2.2","MSIX\Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Framework Package 2.2","MSIX\Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x86__8wekyb3d8bbwe"
"Microsoft .Net Native Runtime Package 1.7","MSIX\Microsoft.NET.Native.Runtime.1.7_1.7.27422.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Runtime Package 1.7","MSIX\Microsoft.NET.Native.Runtime.1.7_1.7.27422.0_x86__8wekyb3d8bbwe"
"Microsoft .Net Native Runtime Package 2.2","MSIX\Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Runtime Package 2.2","MSIX\Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x86__8wekyb3d8bbwe"
"Microsoft.Office.ActionsServer","MSIX\Microsoft.Office.ActionsServer_16.0.19426.20218_neutral__8wekyb3d8bbwe"
"OneNote for Windows 10","MSIX\Microsoft.Office.OneNote_16001.14326.22594.0_x64__8wekyb3d8bbwe"
"OfficePushNotificationsUtility","MSIX\Microsoft.OfficePushNotificationUtility_16.0.19426.20218_neutral__8wekyb3d8bbwe"
"Paint","MSIX\Microsoft.Paint_11.2511.291.0_x64__8wekyb3d8bbwe"
"Power Automate","MSIX\Microsoft.PowerAutomateDesktop_1.0.2062.0_x64__8wekyb3d8bbwe"
"Raw Image Extension","MSIX\Microsoft.RawImageExtension_2.5.7.0_x64__8wekyb3d8bbwe"
"Knipprogramma","MSIX\Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe"
"Windows-beveiliging","MSIX\Microsoft.SecHealthUI_1000.29510.1001.0_x64__8wekyb3d8bbwe"
"Store Experience Host","MSIX\Microsoft.StorePurchaseApp_22512.1401.1.0_x64__8wekyb3d8bbwe"
"Microsoft To Do","MSIX\Microsoft.Todos_2.168.6211.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.0","MSIX\Microsoft.UI.Xaml.2.0_2.1810.18004.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.0","MSIX\Microsoft.UI.Xaml.2.0_2.1810.18004.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml","Microsoft.UI.Xaml.2.7"
"Microsoft.UI.Xaml","Microsoft.UI.Xaml.2.8"
"Microsoft Visual C++ 2015 UWP Desktop Runtime Package","Microsoft.VCLibs.Desktop.14"
"Microsoft Visual C++ 2015 UWP Runtime Package","MSIX\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe"
"Microsoft Visual C++ 2015 UWP Runtime Package","MSIX\Microsoft.VCLibs.140.00_14.0.33519.0_x86__8wekyb3d8bbwe"
"Uitbreidingen voor VP9-video","MSIX\Microsoft.VP9VideoExtensions_1.2.12.0_x64__8wekyb3d8bbwe"
"Media-uitbreidingen voor het web","MSIX\Microsoft.WebMediaExtensions_1.2.17.0_x64__8wekyb3d8bbwe"
"WebP afbeeldingextensie","MSIX\Microsoft.WebpImageExtension_1.2.14.0_x64__8wekyb3d8bbwe"
"Microsoft Foto's","MSIX\Microsoft.Windows.Photos_2025.11120.5001.0_x64__8wekyb3d8bbwe"
"Windows-klok","MSIX\Microsoft.WindowsAlarms_11.2512.0.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.5","MSIX\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.5","MSIX\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x86__8wekyb3d8bbwe"
"WindowsAppRuntime.1.6","MSIX\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.6","MSIX\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe"
"WindowsAppRuntime.1.7","MSIX\Microsoft.WindowsAppRuntime.1.7_7000.676.1651.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.7","MSIX\Microsoft.WindowsAppRuntime.1.7_7000.676.1651.0_x86__8wekyb3d8bbwe"
"WindowsAppRuntime.1.8","MSIX\Microsoft.WindowsAppRuntime.1.8_8000.675.1142.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.8","MSIX\Microsoft.WindowsAppRuntime.1.8_8000.770.947.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.8","MSIX\Microsoft.WindowsAppRuntime.1.8_8000.770.947.0_x86__8wekyb3d8bbwe"
"Windows Rekenmachine","MSIX\Microsoft.WindowsCalculator_11.2508.4.0_x64__8wekyb3d8bbwe"
"Windows Camera","MSIX\Microsoft.WindowsCamera_2025.2510.2.0_x64__8wekyb3d8bbwe"
"Windows Kaarten","MSIX\Microsoft.WindowsMaps_11.2506.3.0_x64__8wekyb3d8bbwe"
"Windows Kladblok","MSIX\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe"
"Windows-geluidsrecorder","MSIX\Microsoft.WindowsSoundRecorder_11.2512.0.0_x64__8wekyb3d8bbwe"
"Microsoft Store","MSIX\Microsoft.WindowsStore_22601.1401.3.0_x64__8wekyb3d8bbwe"
"Windows Terminal","Microsoft.WindowsTerminal"
"Windows Package Manager Source (winget) V2","MSIX\Microsoft.Winget.Source_2026.309.1454.49_neutral__8wekyb3d8bbwe"
"Windows Mediaspeler","MSIX\Microsoft.ZuneMusic_11.2512.10.0_x64__8wekyb3d8bbwe"
"Films en tv","MSIX\Microsoft.ZuneVideo_10.25121.10051.0_x64__8wekyb3d8bbwe"
"Windows Web Experience Pack","MSIX\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy"
"Host voor apparaatoverschrijdende ervaring","MSIX\MicrosoftWindows.CrossDevice_1.25112.60.0_x64__cw5n1h2txyewy"
"Realtek Audio Control","MSIX\RealtekSemiconductorCorp.RealtekAudioControl_1.36.273.0_x64__dt26b99r8h8gj"
